PANGAEA_sampleID,Type,Habitat,Depth,Observed,Chao,Chao.cov,Shannon,Shannon.ext,Simpson,Simpson.ext,Sample.cov,Primer
1,PS101/126,Water,Exclude,200,2249,3372.711,0.666822624292446,208.887,218.068,43.955,44,97.94,V3V4
2,PS101/126,Water,Exclude,400,2480,3517.412,0.705063836707216,246.218,255.516,49.694,49.74,98.31,V3V4
3,PS101/126,Water,Deep-water,600,2574,3475.547,0.740602846113144,305.934,314.903,44.785,44.815,98.75,V3V4
4,PS101/126,Water,Deep-water,1000,2780,3952.484,0.703355155896899,342.168,355.309,64.939,65.012,98.25,V3V4
5,PS99/59,Ice,Sea-ice,0,657,901.009,0.729182505391178,58.338,59.205,27.529,27.55,99.28,V3V4
6,PS101/149,Water,Surface-water,1.5,2363,3159.7,0.7478558090958,60.06,61.112,16.304,16.307,99.14,V3V4
7,PS101/149,Water,Exclude,200,2175,3166.15,0.686954187262132,200.299,206.498,41.538,41.568,98.66,V3V4
8,PS101/149,Water,Exclude,400,2898,4224.789,0.68595141674531,281.021,289.928,52.212,52.248,98.61,V3V4
9,PS101/149,Water,Deep-water,600,2270,3070.143,0.739379240641234,278.092,287.425,47.411,47.454,98.6,V3V4
10,PS101/149,Water,Deep-water,750,2903,3851.523,0.75372781105033,278.032,285.633,44.23,44.254,98.82,V3V4
11,PS99/48,Ice,Sea-ice,0,1001,1287.401,0.777535515352248,52.354,53.011,14.762,14.765,99.41,V3V4
12,PS101/172,Water,Surface-water,1,1383,2535.118,0.545536736357045,48.504,49.711,15.305,15.309,98.67,V3V4
13,PS101/172,Water,Exclude,200,3131,4343.086,0.720915956994635,236.962,243.061,53.924,53.955,98.84,V3V4
14,PS101/172,Water,Exclude,400,2855,4078.253,0.700054655755786,237.114,244.179,40.275,40.296,98.71,V3V4
15,PS101/172,Water,Deep-water,600,3186,4441.757,0.717283723535529,262.157,268.867,45.884,45.905,98.87,V3V4
16,PS101/172,Water,Deep-water,620,3253,4620.626,0.704017161311043,304.895,312.893,55.593,55.625,98.84,V3V4
17,PS101/175,Water,Surface-water,10,1687,2383.803,0.707692707828625,56.115,57.281,15.925,15.928,98.96,V3V4
18,PS101/175,Water,Exclude,50,1663,2340.822,0.710434197901421,201.581,205.799,53.414,53.459,99.06,V3V4
19,PS101/175,Water,Exclude,200,2948,4082.342,0.722134500245202,218.502,224.604,40.604,40.623,98.73,V3V4
20,PS101/175,Water,Deep-water,1000,2440,3302.741,0.738780303995984,245.262,252.56,35.948,35.969,98.69,V3V4
21,PS101/175,Water,Exclude,2000,2724,3352.617,0.812499608514781,211.159,216.73,39.876,39.897,98.94,V3V4
22,PS101/97,Water,Exclude,50,1518,2217.389,0.68458894672969,160.288,164.245,42.528,42.564,98.87,V3V4
23,PS101/175,Water,Exclude,3000,2060,2698.09,0.763503070690748,206.786,213.213,47.992,48.039,98.7,V3V4
24,PS101/175,Water,Exclude,3230,2055,2647.004,0.776349412392275,206.43,212.149,50.253,50.3,98.88,V3V4
25,PS99/43,Water,Surface-water,10,1674,2426.174,0.689975244974186,36.066,36.434,13.649,13.65,99.48,V3V4
26,PS99/43,Water,Surface-water,28,1472,2275.924,0.646770278796656,43.923,44.495,16.858,16.861,99.36,V3V4
27,PS99/51,Water,Surface-water,5,509,845.382,0.60209467436023,22.039,22.579,6.295,6.297,98.76,V3V4
28,PS99/51,Water,Surface-water,13,483,822.145,0.587487608633514,29.624,30.743,7.978,7.982,98.13,V3V4
